solid 0, double_two_angles_wide_right 2, line_edge_double_adjacent 0, double_two_angles_narrow_left 3, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, double_adjacent_diagonal 3, line_edge_quad 0, quad_diagonal 0, line_edge_double_adjacent 1, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, double_two_angles_narrow_left 1, line_edge_double_across 1, single_diagonal 1, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, double_two_angles_wide_right 2, line_edge_double_adjacent 0, double_adjacent_diagonal 0, line_edge_triple 2, quad_diagonal 0, line_edge_triple 0, double_two_angles_wide_right 0, triple_center 2, double_two_angles_wide_left 3, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_triple 0, double_adjacent_diagonal 2, line_edge_double_adjacent 2, single_diagonal 2, solid 0, solid 0, solid_stars 0, solid 0, single_center 3, double_two_angles_wide_left 0, solid_stars 0, solid_stars 0, solid 0, line_edge 2, single_diagonal 1, single_center 2, double_across_center 0, solid 0, solid 0, solid 0, double_across_center 0, solid_stars 0, solid 0, solid 0, solid 0, solid_stars 0, single_center 2, solid_stars 0, triple_center 1, double_two_angles_narrow_right 3, solid 0, solid_stars 0, solid 0, solid_stars 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, line_edge_double_adjacent 3, quad_diagonal 0, line_edge_double_adjacent 1, solid 0, 
solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, double_adjacent_diagonal 0, line_edge_double_adjacent 0, double_two_angles_wide_right 3, solid_stars 0, solid 0, solid 0, solid 0, solid 0, double_adjacent_center 3, triple_center 2, double_two_angles_narrow_left 3, solid 0, solid 0, line_edge 2, double_two_angles_wide_right 3, solid_stars 0, solid_stars 0, solid 0, double_two_angles_narrow_left 2, line_edge_triple 2, quad_diagonal 0, line_edge_triple 0, double_adjacent_diagonal 2, line_edge 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 1, double_two_angles_wide_right 0, solid 0, solid 0, solid_stars 0, solid 0, single_diagonal 3, line_edge_triple 1, quad_diagonal 0, line_edge_quad 0, quad_diagonal 0, line_edge_double_adjacent 1, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge_center_across_right 2, double_two_angles_narrow_right 0, solid 0, solid 0, solid 0, solid 0, triple_center 1, double_two_angles_narrow_right 3, solid 0, line_edge 1, double_two_angles_wide_left 1, double_two_angles_wide_right 1, line_edge 0, solid_stars 0, solid 0, double_two_angles_wide_right 1, line_edge 0, double_two_angles_narrow_left 2, double_adjacent_center 2, double_two_angles_wide_left 2, single_center 1, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_triple 3, single_diagonal 1, solid_stars 0, 
solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, double_two_angles_narrow_left 1, line_edge_center_across_left 1, double_two_angles_narrow_right 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, double_adjacent_center 0, double_adjacent_center 2, double_adjacent_center 3, double_adjacent_center 2, solid_stars 0, solid 0, double_across_center 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, double_two_angles_wide_right 2, line_edge_double_adjacent 0, double_adjacent_diagonal 0, line_edge_double_adjacent 0, double_across_diagonal 1, line_edge 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid_stars 0, double_two_angles_narrow_right 2, line_edge 3, solid_stars 0, solid_stars 0, solid_stars 0, solid 0, line_edge 2, double_adjacent_diagonal 0, line_edge_triple 2, quad_diagonal 0, line_edge_triple 3, single_diagonal 1, solid 0, solid 0, double_adjacent_center 3, double_two_angles_wide_left 0, line_edge 1, double_two_angles_wide_right 0, line_edge_center_across_right 0, double_two_angles_wide_left 0, solid 0, double_two_angles_narrow_left 1, triple_center 0, double_adjacent_center 1, solid 0, solid_stars 0, double_two_angles_narrow_left 2, triple_center 2, line_edge_center_across_right 3, double_two_angles_narrow_right 3, solid 0, single_diagonal 3, line_edge_double_across 1, double_two_angles_narrow_right 3, solid 0, line_center 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid 0, 
double_two_angles_narrow_left 0, solid_stars 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, single_center 0, single_diagonal 0, line_edge_double_across 0, double_two_angles_narrow_right 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid_stars 0, triple_center 1, double_two_angles_wide_left 3, line_center 0, solid_stars 0, solid 0, double_across_center 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, line_edge 1, double_two_angles_wide_right 0, double_two_angles_narrow_right 1, line_edge_double_adjacent 2, double_two_angles_wide_right 0, triple_center 1, double_two_angles_wide_left 0, solid 0, solid 0, line_edge 2, double_two_angles_wide_left 0, solid_stars 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid_stars 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, single_diagonal 0, line_edge_double_adjacent 0, double_two_angles_wide_right 3, solid 0, solid_stars 0, solid_stars 0, double_adjacent_center 0, double_adjacent_center 1, double_two_angles_narrow_right 2, line_edge_center_across_left 3, double_adjacent_center 1, single_center 0, solid_stars 0, line_edge 2, double_two_angles_narrow_right 3, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, line_edge 2, double_two_angles_narrow_left 3, solid 0, solid 0, double_adjacent_center 0, single_center 1, solid_stars 0, single_center 2, solid_stars 0, double_two_angles_narrow_left 1, double_adjacent_center 2, solid_stars 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, line_edge 1, 
line_edge_double_across 0, single_diagonal 2, solid_stars 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, double_adjacent_diagonal 3, line_edge_triple 0, double_two_angles_wide_right 0, solid 0, solid 0, solid 0, solid_stars 0, double_two_angles_narrow_left 2, line_edge_double_across 0, double_two_angles_wide_right 0, solid 0, single_center 3, double_two_angles_narrow_left 3, line_edge 1, double_two_angles_wide_right 0, solid 0, solid 0, single_center 2, single_diagonal 0, line_edge 3, line_edge_center_across_left 2, double_adjacent_diagonal 0, line_edge_double_across 0, double_two_angles_wide_left 3, single_center 0, solid 0, solid 0, solid 0, line_center 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, double_two_angles_narrow_right 1, line_edge_center_across_left 3, double_two_angles_wide_left 0, line_edge 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, double_two_angles_narrow_right 1, line_edge_center_across_left 3, single_center 1, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, single_center 2, solid_stars 0, double_two_angles_narrow_right 2, line_edge_center_across_left 3, triple_center 3, single_center 0, single_center 3, single_center 1, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, single_center 2, single_center 3, double_two_angles_wide_left 3, 
double_adjacent_diagonal 3, line_edge_double_adjacent 1, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, line_edge_double_adjacent 3, quad_diagonal 0, line_edge_double_adjacent 1, solid_stars 0, solid 0, solid 0, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, solid 0, solid_stars 0, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, solid_stars 0, solid 0, single_center 0, solid_stars 0, single_center 2, double_two_angles_narrow_right 2, line_edge_center_across_left 3, double_two_angles_wide_left 3, single_diagonal 3, line_edge 0, solid_stars 0, solid_stars 0, solid 0, double_adjacent_center 0, double_two_angles_wide_left 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, single_center 0, single_center 3, line_edge_center_across_right 3, double_two_angles_narrow_right 3, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, single_center 2, single_center 2, solid_stars 0, solid 0, solid 0, solid_stars 0, line_edge 2, double_two_angles_wide_right 3, solid 0, solid 0, solid_stars 0, solid_stars 0, solid_stars 0, solid_stars 0, solid 0, double_adjacent_center 3, double_two_angles_wide_left 0, solid_stars 0, single_center 2, solid_stars 0, solid 0, solid 0, solid_stars 0, triple_center 1, double_two_angles_wide_left 0, solid 0, solid_stars 0, double_two_angles_wide_left 2, single_center 1, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, single_center 0, solid 0, solid 0, 
line_edge 2, single_diagonal 1, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, double_two_angles_narrow_left 2, line_edge_triple 2, double_adjacent_diagonal 1, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge_double_across 1, double_two_angles_wide_right 3, solid 0, line_edge 1, double_adjacent_diagonal 2, line_edge_triple 1, double_adjacent_diagonal 1, solid_stars 0, solid 0, solid 0, solid 0, double_two_angles_narrow_right 2, double_across_center 1, single_center 1, solid 0, line_edge 2, double_two_angles_wide_right 3, solid 0, solid 0, solid 0, solid_stars 0, single_center 0, solid 0, solid_stars 0, solid 0, solid_stars 0, solid_stars 0, solid_stars 0, solid 0, solid_stars 0, solid 0, solid 0, double_two_angles_narrow_left 1, line_edge 0, solid_stars 0, solid 0, solid_stars 0, single_diagonal 3, line_edge 0, solid 0, double_adjacent_center 0, double_two_angles_wide_left 3, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, double_two_angles_narrow_left 2, line_edge_center_across_right 3, double_two_angles_wide_right 1, line_edge_center_across_left 0, solid 0, solid 0, double_two_angles_narrow_right 1, line_center 1, triple_center 3, line_center 0, solid 0, solid_stars 0, solid_stars 0, solid 0, single_center 2, double_adjacent_center 3, double_two_angles_narrow_right 0, solid 0, solid_stars 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid_stars 0, 
solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, single_diagonal 0, line_edge 3, solid 0, solid 0, solid_stars 0, double_two_angles_narrow_left 1, line_edge_double_across 1, single_diagonal 1, solid 0, double_adjacent_center 3, double_two_angles_wide_right 2, line_edge_double_adjacent 0, double_adjacent_diagonal 0, line_edge_double_across 0, double_two_angles_narrow_right 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, double_adjacent_center 3, single_center 1, solid_stars 0, single_center 2, solid 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, double_two_angles_narrow_right 1, line_edge_center_across_left 3, triple_center 2, double_two_angles_narrow_left 3, solid 0, solid 0, single_diagonal 3, line_edge_triple 1, double_adjacent_diagonal 1, solid_stars 0, double_two_angles_narrow_right 1, line_edge_double_adjacent 2, double_two_angles_wide_right 0, double_two_angles_narrow_left 1, line_edge_double_adjacent 2, double_two_angles_wide_right 0, solid_stars 0, solid 0, solid 0, single_center 3, line_center 1, double_two_angles_narrow_left 0, solid 0, solid 0, solid_stars 0, solid 0, solid_stars 0, line_edge 2, double_two_angles_narrow_left 3, solid_stars 0, single_center 3, double_adjacent_center 1, solid_stars 0, double_adjacent_center 0, double_adjacent_center 1, solid 0, solid_stars 0, solid 0, solid 0, line_center 0, double_two_angles_wide_left 2, quad_center 0, double_two_angles_wide_left 0, solid 0, double_two_angles_narrow_right 1, line_edge 0, solid 0, solid 0, solid 0, solid 0, solid 0, 
solid 0, solid 0, line_edge 1, double_adjacent_diagonal 2, line_edge_double_adjacent 2, single_diagonal 2, solid_stars 0, solid 0, solid 0, double_adjacent_center 3, double_two_angles_wide_left 0, solid_stars 0, solid_stars 0, solid_stars 0, solid 0, solid 0, solid_stars 0, double_adjacent_center 0, double_two_angles_narrow_right 3, single_center 3, double_adjacent_center 2, double_two_angles_wide_left 2, triple_center 3, solid 0, solid 0, double_two_angles_narrow_right 2, double_adjacent_center 1, solid 0, solid_stars 0, solid 0, solid 0, double_two_angles_wide_right 1, line_edge_center_across_left 0, single_center 2, single_center 2, line_edge_center_across_left 0, solid_stars 0, solid_stars 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, double_two_angles_narrow_left 1, line_edge_double_across 1, double_two_angles_wide_right 3, solid 0, solid_stars 0, line_edge 1, double_adjacent_diagonal 2, line_edge_triple 1, quad_diagonal 0, line_edge_triple 0, double_adjacent_diagonal 2, line_edge_triple 1, quad_diagonal 0, line_edge_double_adjacent 1, line_edge 2, double_adjacent_diagonal 0, line_edge_double_across 0, double_two_angles_wide_right 0, solid 0, solid 0, solid 0, solid_stars 0, double_across_center 0, solid_stars 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, double_two_angles_narrow_right 1, line_edge_center_across_left 3, line_center 1, double_two_angles_narrow_right 3, solid 0, double_across_center 0, line_center 0, solid 0, line_edge_double_adjacent 3, double_adjacent_diagonal 1, solid 0, solid 0, solid 0, solid_stars 0, solid 0, 
solid_stars 0, solid_stars 0, double_two_angles_wide_right 2, line_edge_triple 2, quad_diagonal 0, line_edge_double_adjacent 1, solid 0, solid 0, double_two_angles_narrow_left 1, triple_center 2, triple_center 2, double_two_angles_narrow_right 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, solid_stars 0, solid 0, solid 0, double_two_angles_wide_right 1, line_edge_double_across 1, double_two_angles_narrow_left 3, solid_stars 0, solid 0, solid 0, solid 0, solid_stars 0, solid_stars 0, solid 0, double_two_angles_narrow_right 1, line_edge_center_across_left 1, double_two_angles_narrow_left 3, double_two_angles_wide_left 2, double_adjacent_center 1, double_two_angles_narrow_right 2, single_center 1, solid_stars 0, solid 0, solid 0, solid 0, solid 0, solid 0, double_two_angles_wide_left 1, double_adjacent_center 2, solid 0, solid 0, solid 0, line_edge 2, double_two_angles_wide_left 0, double_across_center 0, solid_stars 0, solid 0, double_adjacent_diagonal 3, line_edge_quad 0, quad_diagonal 0, line_edge_quad 0, quad_diagonal 0, line_edge_quad 0, quad_diagonal 0, line_edge_triple 3, single_diagonal 1, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, solid 0, solid_stars 0, single_center 3, double_across_center 1, triple_center 2, double_adjacent_center 2, solid 0, solid_stars 0, solid 0, single_center 3, double_two_angles_wide_left 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid_stars 0, solid 0, double_two_angles_wide_right 1, line_edge_center_across_right 2, solid 0, single_diagonal 0, line_edge_double_across 0, double_two_angles_wide_right 0, solid_stars 0, solid 0, solid_stars 0, solid 0, 
solid 0, solid 0, solid_stars 0, double_two_angles_wide_left 1, line_edge_triple 2, double_adjacent_diagonal 1, solid_stars 0, solid 0, single_center 0, double_two_angles_narrow_left 1, line_edge_center_across_left 3, triple_center 3, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, single_diagonal 3, line_edge_double_across 1, single_diagonal 1, solid 0, solid 0, solid 0, solid 0, line_edge 1, double_two_angles_wide_right 0, solid_stars 0, solid 0, single_center 0, single_center 3, single_center 1, solid 0, single_center 3, double_two_angles_wide_left 0, line_edge 0, solid 0, solid_stars 0, solid_stars 0, solid_stars 0, solid 0, solid_stars 0, double_adjacent_center 0, double_adjacent_center 1, solid 0, solid 0, solid_stars 0, solid 0, double_adjacent_center 0, double_two_angles_wide_left 3, line_edge 1, double_adjacent_diagonal 2, line_edge_triple 1, quad_diagonal 0, line_edge_triple 3, double_adjacent_diagonal 0, line_edge_triple 2, quad_diagonal 0, line_edge_triple 3, double_two_angles_wide_left 0, single_center 3, line_center 1, double_two_angles_wide_right 1, line_edge_double_across 1, single_diagonal 1, solid 0, single_center 2, single_center 2, solid 0, single_center 3, double_two_angles_narrow_left 3, solid 0, solid_stars 0, solid 0, solid 0, line_edge 2, double_two_angles_wide_left 0, solid 0, solid 0, solid 0, solid 0, solid 0, single_center 3, double_adjacent_center 2, solid_stars 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge_double_across 1, double_two_angles_narrow_right 3, solid 0, solid 0, double_two_angles_narrow_left 2, line_edge 3, solid 0, solid 0, solid 0, solid 0, 
