solid 0, solid 0, line_edge 2, triple_diagonal 1, line_edge_triple 3, double_adjacent_diagonal 2, line_edge_double_adjacent 0, solid 0, solid 0, single_diagonal 3, line_edge 0, double_adjacent_diagonal 3, line_edge_double_adjacent 0, solid 0, solid 0, 

solid 0, solid 0, solid_stars 0, line_edge 2, double_adjacent_diagonal 0, line_edge_double_adjacent 3, double_across_diagonal 1, line_edge 0, solid 0, line_edge 2, double_across_diagonal 1, line_edge_double_across 1, double_across_diagonal 1, line_edge 0, solid 0, 

solid 0, solid 0, line_edge_double_adjacent 1, single_diagonal 2, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid_stars 0, line_edge_double_adjacent 2, single_diagonal 0, line_edge_triple 1, triple_diagonal 0, line_edge 0, 

line_edge_double_adjacent 0, single_diagonal 1, single_diagonal 3, line_edge 3, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_triple 3, double_across_diagonal 1, 

quad_diagonal 0, line_edge_double_adjacent 3, solid_stars 0, solid_stars 0, solid 0, solid_stars 0, solid 0, line_edge 1, single_diagonal 1, solid 0, solid 0, solid 0, line_edge_double_adjacent 2, single_diagonal 0, line_edge_double_adjacent 1, 

line_edge_double_adjacent 2, single_diagonal 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, single_diagonal 0, line_edge_double_adjacent 3, solid 0, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, 

solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 1, single_diagonal 2, solid 0, solid 0, solid 0, single_diagonal 2, line_edge_double_adjacent 0, double_adjacent_diagonal 2, line_edge_double_adjacent 0, solid 0, 

solid 0, solid 0, single_diagonal 3, line_edge 0, solid 0, single_diagonal 0, line_edge 2, single_diagonal 1, solid_stars 0, solid 0, line_edge_double_adjacent 1, double_adjacent_diagonal 1, line_edge_double_adjacent 2, double_adjacent_diagonal 1, solid 0, 

solid 0, solid 0, solid 0, single_diagonal 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge_triple 0, double_across_diagonal 0, line_edge 3, single_diagonal 2, 

single_diagonal 1, solid 0, solid_stars 0, single_diagonal 2, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, line_edge_double_adjacent 2, quad_diagonal 0, line_edge_double_adjacent 3, solid 0, line_edge 2, 

solid_stars 0, solid 0, single_diagonal 3, line_edge 3, solid 0, solid 0, single_diagonal 2, solid 0, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 3, solid 0, solid 0, solid 0, 

solid 0, single_diagonal 2, solid 0, solid 0, solid 0, single_diagonal 2, line_edge_double_adjacent 0, solid 0, solid_stars 0, solid 0, line_edge_double_adjacent 2, double_across_diagonal 1, line_edge_double_adjacent 0, solid 0, solid 0, 

single_diagonal 3, line_edge 3, single_diagonal 3, line_edge_double_adjacent 1, double_adjacent_diagonal 2, line_edge_triple 1, double_adjacent_diagonal 1, solid_stars 0, single_diagonal 2, solid 0, double_adjacent_diagonal 3, line_edge_triple 0, single_diagonal 1, solid 0, solid 0, 

single_diagonal 1, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_triple 3, double_across_diagonal 0, line_edge_double_adjacent 3, single_diagonal 3, line_edge_double_across 0, single_diagonal 1, line_edge_double_adjacent 2, double_adjacent_diagonal 0, line_edge_double_adjacent 3, solid 0, line_edge 1, 

solid 0, solid 0, single_diagonal 3, line_edge_double_adjacent 1, line_diagonal 0, line_edge 3, single_diagonal 0, solid 0, single_diagonal 0, line_edge_double_adjacent 3, solid 0, line_edge_double_adjacent 1, double_adjacent_diagonal 1, solid 0, single_diagonal 0, 
