solid 0, single_diagonal 3, line_edge 0, line_edge 1, line_diagonal 1, line_edge 3, solid 0, solid 0, solid 0, single_diagonal 0, line_edge_double_adjacent 0, double_adjacent_diagonal 0, line_edge 3, solid 0, solid 0, solid 0, solid_stars 0, line_edge 1, triple_diagonal 1, line_edge_triple 0, double_adjacent_diagonal 1, single_diagonal 0, line_edge 3, solid 0, 
solid 0, line_edge 2, single_diagonal 1, single_diagonal 0, line_edge 3, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge_double_adjacent 2, single_diagonal 2, solid 0, solid 0, solid 0, single_diagonal 0, line_edge_double_adjacent 0, double_adjacent_diagonal 0, line_edge 3, solid 0, solid 0, solid 0, 
solid 0, solid 0, line_edge 1, single_diagonal 2, solid 0, single_diagonal 3, line_edge 0, solid 0, solid 0, line_edge 1, double_adjacent_diagonal 2, line_edge_double_across 1, double_adjacent_diagonal 0, line_edge 3, solid 0, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge 0, solid 0, solid 0, solid 0, 
solid 0, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, solid 0, line_edge_double_adjacent 3, double_adjacent_diagonal 1, solid 0, solid 0, single_diagonal 0, line_edge_double_adjacent 0, single_diagonal 1, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid 0, solid 0, 
solid 0, solid 0, line_edge_double_adjacent 3, double_adjacent_diagonal 1, solid 0, single_diagonal 0, line_edge_double_across 0, single_diagonal 2, solid 0, line_edge 1, single_diagonal 2, solid 0, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge 0, solid 0, solid 0, solid 0, line_edge 1, single_diagonal 2, solid 0, 
solid 0, solid 0, single_diagonal 0, line_edge_double_across 0, double_adjacent_diagonal 2, line_edge_double_adjacent 2, line_diagonal 1, line_edge 3, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, line_diagonal 0, line_edge_double_adjacent 2, single_diagonal 2, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, solid 0, 
line_edge_double_adjacent 2, double_adjacent_diagonal 2, line_edge_double_adjacent 2, triple_diagonal 0, line_edge_triple 2, triple_diagonal 1, line_edge_double_adjacent 1, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid_stars 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, double_adjacent_diagonal 0, line_edge 3, solid 0, line_edge_double_adjacent 3, double_adjacent_diagonal 1, single_diagonal 3, 
triple_diagonal 2, line_edge_double_adjacent 0, double_adjacent_diagonal 0, line_edge_double_adjacent 0, single_diagonal 1, line_edge_double_adjacent 3, triple_diagonal 3, line_edge 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, double_adjacent_diagonal 3, line_edge_double_adjacent 1, line_edge_double_adjacent 3, 
line_edge_double_adjacent 1, solid 0, solid 0, solid 0, line_edge 1, triple_diagonal 1, line_edge_quad 0, double_adjacent_diagonal 1, solid 0, solid 0, solid 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid_stars 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge_double_across 1, single_diagonal 1, double_adjacent_diagonal 3, 
double_adjacent_diagonal 1, solid 0, solid 0, solid 0, single_diagonal 0, line_edge_double_adjacent 0, double_adjacent_diagonal 0, line_edge 3, solid 0, single_diagonal 3, line_edge 0, solid 0, solid 0, solid 0, solid 0, line_edge 1, double_adjacent_diagonal 2, line_edge_double_adjacent 2, single_diagonal 2, solid 0, line_edge 2, single_diagonal 1, solid 0, line_edge_double_adjacent 3, 
line_edge_double_adjacent 1, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, single_diagonal 3, line_edge_double_across 1, single_diagonal 1, solid 0, line_edge 1, double_adjacent_diagonal 2, line_edge_double_adjacent 2, line_diagonal 0, line_edge_double_adjacent 0, triple_diagonal 1, line_edge_double_adjacent 1, solid 0, solid 0, solid 0, solid 0, double_adjacent_diagonal 3, 
