solid 0, line_edge_center_across_left 2, line_diagonal 1, line_edge 0, double_two_angles_narrow_left 0, single_center 3, line_edge_center_across_left 2, single_diagonal 1, solid 0, double_two_angles_narrow_left 1, single_diagonal 0, line_edge_center_across_left 3, double_two_angles_narrow_left 3, double_two_angles_narrow_left 0, single_center 0, solid 0, 
double_two_angles_narrow_left 3, single_center 3, line_edge_center_across_left 2, line_diagonal 1, line_edge 0, double_two_angles_narrow_left 2, solid 0, single_diagonal 3, line_edge 0, solid 0, solid 0, line_edge 1, single_diagonal 2, double_two_angles_narrow_left 2, line_edge_center_across_left 0, solid 0, 
solid 0, single_center 3, line_center 1, line_edge_center_across_left 2, single_diagonal 1, line_edge_center_across_left 2, double_two_angles_narrow_left 2, line_edge 2, single_diagonal 1, double_two_angles_narrow_left 1, line_edge_center_across_left 1, line_diagonal 0, line_edge 3, line_edge_center_across_left 2, single_diagonal 1, double_two_angles_narrow_left 3, 
solid 0, double_two_angles_narrow_left 1, solid 0, line_center 0, solid 0, solid 0, solid 0, solid 0, solid 0, single_center 0, double_two_angles_narrow_left 1, line_edge_center_across_left 3, solid 0, line_center 0, solid 0, solid 0, 
solid 0, solid 0, solid 0, single_center 0, solid 0, solid 0, single_diagonal 3, line_edge_center_across_left 0, solid 0, double_two_angles_narrow_left 0, single_center 0, line_center 0, single_center 3, double_two_angles_narrow_left 3, double_two_angles_narrow_left 0, solid 0, 
solid 0, solid 0, double_two_angles_narrow_left 2, line_edge_center_across_left 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid 0, solid 0, double_two_angles_narrow_left 2, solid 0, solid 0, line_edge_center_across_left 2, double_two_angles_narrow_left 2, 
single_center 2, solid 0, line_edge 2, line_diagonal 1, line_edge_center_across_left 0, solid 0, solid 0, single_center 2, double_two_angles_narrow_left 3, solid 0, solid 0, solid 0, single_diagonal 3, line_edge 0, line_center 0, solid 0, 
single_center 0, line_edge_center_across_left 1, single_diagonal 2, line_edge_center_across_left 2, double_two_angles_narrow_left 0, solid 0, single_diagonal 3, line_edge_center_across_left 0, solid 0, double_two_angles_narrow_left 2, line_edge_center_across_left 0, single_center 1, line_edge_center_across_left 2, double_two_angles_narrow_left 0, single_center 0, solid 0, 
single_diagonal 2, single_diagonal 0, line_edge 3, solid 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, line_edge 2, single_diagonal 1, double_two_angles_narrow_left 1, solid 0, line_center 0, solid 0, line_edge 1, 
line_edge_center_across_left 3, solid 0, double_two_angles_narrow_left 2, double_two_angles_narrow_left 1, solid 0, line_edge_center_across_left 1, double_two_angles_narrow_left 3, solid 0, solid 0, solid 0, line_edge_center_across_left 1, single_diagonal 2, solid 0, double_two_angles_narrow_left 3, solid 0, single_diagonal 0, 
line_center 0, solid 0, solid 0, solid 0, line_edge_center_across_left 1, line_diagonal 0, line_edge 3, double_two_angles_narrow_left 3, solid 0, solid 0, single_diagonal 0, line_edge 3, double_two_angles_narrow_left 3, solid 0, solid 0, solid 0, 
line_center 0, solid 0, solid 0, solid 0, double_two_angles_narrow_left 3, line_edge_center_across_left 3, solid 0, double_two_angles_narrow_left 1, solid 0, solid 0, double_two_angles_narrow_left 0, line_edge_center_across_left 0, solid 0, solid 0, solid 0, solid 0, 
single_center 0, line_edge_center_across_left 1, single_diagonal 2, solid 0, solid 0, solid 0, double_two_angles_narrow_left 0, line_edge 0, solid 0, single_diagonal 3, line_edge 0, double_two_angles_narrow_left 0, line_edge_center_across_left 1, double_two_angles_narrow_left 1, double_two_angles_narrow_left 3, solid 0, 
line_edge_center_across_left 1, line_diagonal 0, line_edge 3, solid 0, solid 0, solid 0, solid 0, double_two_angles_narrow_left 0, solid 0, line_edge 2, line_diagonal 1, line_edge 0, double_two_angles_narrow_left 1, solid 0, solid 0, solid 0, 
double_two_angles_narrow_left 3, line_edge 3, solid 0, single_center 2, solid 0, solid 0, solid 0, solid 0, solid 0, solid 0, line_edge 2, single_diagonal 1, solid 0, solid 0, solid 0, solid 0, 
solid 0, double_two_angles_narrow_left 0, line_edge 0, double_two_angles_narrow_left 3, solid 0, solid 0, single_diagonal 3, line_edge 0, double_two_angles_narrow_left 0, double_two_angles_narrow_left 3, line_edge 1, single_diagonal 2, solid 0, solid 0, double_two_angles_narrow_left 1, solid 0, 
